id_num,program_type,program_id,program_duration,test_id,test_type,difficulty_level,trainee_id,gender,education,city_tier,age,total_programs_enrolled,is_handicapped,trainee_engagement_rating,is_pass
9389_150,Y,Y_1,136,150,offline,intermediate,9389,M,Matriculation,3,24,5,N,1,0
16523_44,T,T_1,131,44,offline,easy,16523,F,High School Diploma,4,26,2,N,3,1
13987_178,Z,Z_2,120,178,online,easy,13987,M,Matriculation,1,40,1,N,2,1
13158_32,T,T_2,117,32,offline,easy,13158,F,Matriculation,3,,4,N,1,1
10591_84,V,V_3,131,84,offline,intermediate,10591,F,High School Diploma,1,42,2,N,4,1
12531_23,T,T_3,134,23,offline,intermediate,12531,F,High School Diploma,1,29,4,N,2,0
17874_144,Y,Y_2,120,144,online,easy,17874,M,Bachelors,2,48,3,N,3,1
8129_61,U,U_1,134,,online,easy,8129,M,Matriculation,2,45,1,N,1,1
5652_57,U,U_1,134,57,offline,easy,5652,M,Matriculation,4,,3,N,3,1
17019_153,Y,Y_1,136,153,offline,hard,17019,M,Bachelors,3,28,2,N,4,1
9932_80,V,V_3,131,80,offline,easy,9932,F,High School Diploma,3,,2,N,4,1
8543_31,T,T_3,134,31,online,easy,8543,F,High School Diploma,4,,2,N,1,1
15848_149,Y,Y_1,136,149,offline,intermediate,15848,M,High School Diploma,1,,4,N,4,1
423_126,Y,Y_3,135,126,offline,intermediate,423,M,Matriculation,3,,4,N,5,1
8404_27,T,T_3,134,27,online,easy,8404,M,Bachelors,2,,2,N,1,1
10276_65,U,U_1,134,65,offline,vary hard,10276,M,High School Diploma,2,45,,Y,2,0
9774_104,X,X_3,136,104,offline,hard,9774,M,High School Diploma,1,28,2,N,5,0
8899_85,V,V_3,131,85,offline,intermediate,8899,F,High School Diploma,1,,2,N,2,1
13535_33,T,T_2,117,33,offline,intermediate,13535,F,High School Diploma,3,43,2,N,1,0
13920_151,Y,Y_1,136,151,offline,hard,13920,F,Bachelors,3,28,2,N,4,0
10498_159,Y,Y_1,136,,online,easy,10498,M,High School Diploma,3,27,2,N,4,1
10868_44,T,T_1,131,44,offline,easy,10868,F,Matriculation,4,32,4,N,1,0
2352_115,Y,Y_4,121,115,offline,hard,2352,M,High School Diploma,3,,6,Y,3,1
299_150,Y,Y_1,136,150,offline,intermediate,299,M,High School Diploma,2,,,N,3,1
12764_144,Y,Y_2,120,,online,easy,12764,M,Matriculation,2,,3,N,2,1
16955_99,V,V_1,133,99,offline,hard,16955,F,High School Diploma,1,,4,Y,1,0
204_96,V,V_1,133,96,offline,easy,204,F,Matriculation,1,44,2,N,1,1
378_19,T,T_4,120,19,online,easy,378,F,,3,,2,N,2,1
15006_59,U,U_1,134,59,offline,intermediate,15006,F,High School Diploma,4,29,4,N,2,1
